trial,feature_prefix,model,selection_metric,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,val_pearson,val_spearman,val_mae,val_rmse,val_r2
52,basic,xgb,pearson,300,5,0.01,1.0,1.0,0.8006832003593445,0.7745460197445687,5.800184726715088,7.417501024041075,0.63883376121521
53,basic,xgb,pearson,300,5,0.05,0.8,0.8,0.8108481168746948,0.779156590864879,5.505236625671387,7.242559363767432,0.655669093132019
54,basic,xgb,pearson,300,5,0.05,0.8,1.0,0.8143242001533508,0.7841653012960947,5.509644985198975,7.176219546783848,0.6619482040405273
55,basic,xgb,pearson,300,5,0.05,1.0,0.8,0.8189908266067505,0.7918337909165096,5.375614643096924,7.08724314175419,0.6702790260314941
56,basic,xgb,pearson,300,5,0.05,1.0,1.0,0.8121656179428101,0.7802607699332789,5.536744594573975,7.212213636825582,0.6585484743118286
57,basic,xgb,pearson,300,5,0.1,0.8,0.8,0.8013979196548462,0.7727208366848933,5.555759906768799,7.416582971450674,0.638923168182373
58,basic,xgb,pearson,300,5,0.1,0.8,1.0,0.810700535774231,0.7791234881659084,5.48487663269043,7.270143871536642,0.6530412435531616
59,basic,xgb,pearson,300,5,0.1,1.0,0.8,0.813793420791626,0.7745067953135968,5.438632011413574,7.188803380463869,0.6607615351676941
60,basic,xgb,pearson,300,5,0.1,1.0,1.0,0.8053420186042786,0.7697005555000567,5.653254985809326,7.35413629311259,0.6449780464172363
61,basic,xgb,pearson,300,7,0.01,0.8,0.8,0.8172512650489807,0.7868092093282532,5.590481758117676,7.180858695023903,0.6615109443664551
62,basic,xgb,pearson,300,7,0.01,0.8,1.0,0.8177942633628845,0.7863435042345172,5.6065850257873535,7.142802701470124,0.6650891900062561
63,basic,xgb,pearson,300,7,0.01,1.0,0.8,0.8075405359268188,0.7789987862177318,5.728552341461182,7.325256957667055,0.6477608680725098
64,basic,xgb,pearson,300,7,0.01,1.0,1.0,0.8121217489242554,0.7860643986014167,5.58560037612915,7.227293829126452,0.65711909532547
65,basic,xgb,pearson,300,7,0.05,0.8,0.8,0.810657262802124,0.7739200159647222,5.5332183837890625,7.233611954393067,0.6565192937850952
66,basic,xgb,pearson,300,7,0.05,0.8,1.0,0.8174151182174683,0.7809631819977352,5.450359344482422,7.119575443254148,0.6672637462615967
67,basic,xgb,pearson,300,7,0.05,1.0,0.8,0.8140388131141663,0.7863024659570265,5.545281410217285,7.177617983750201,0.6618163585662842
68,basic,xgb,pearson,300,7,0.05,1.0,1.0,0.8173890113830566,0.790447331983601,5.457800388336182,7.1171162137963995,0.6674935817718506
69,basic,xgb,pearson,300,7,0.1,0.8,0.8,0.8023849725723267,0.7673518509888546,5.685119152069092,7.377180391405902,0.6427496671676636
70,basic,xgb,pearson,300,7,0.1,0.8,1.0,0.807354748249054,0.7767663946145564,5.572359085083008,7.313518746644431,0.6488888263702393
71,basic,xgb,pearson,300,7,0.1,1.0,0.8,0.8084062337875366,0.7846679635126539,5.593587398529053,7.276781274391311,0.6524074077606201
72,basic,xgb,pearson,300,7,0.1,1.0,1.0,0.8105068802833557,0.7826564077231584,5.526489734649658,7.240228315936903,0.655890703201294
73,basic,xgb,pearson,500,3,0.01,0.8,0.8,0.8021754026412964,0.7675967202689105,5.618361473083496,7.370796945617577,0.6433676481246948
74,basic,xgb,pearson,500,3,0.01,0.8,1.0,0.800564169883728,0.7665419685181514,5.653221130371094,7.396784016573811,0.6408483982086182
75,basic,xgb,pearson,500,3,0.01,1.0,0.8,0.8011704087257385,0.7637107808329134,5.647815704345703,7.3877350074321875,0.6417266130447388
76,basic,xgb,pearson,500,3,0.01,1.0,1.0,0.7982376217842102,0.7619644731111855,5.697999954223633,7.43565768977708,0.6370635032653809
77,basic,xgb,pearson,500,3,0.05,0.8,0.8,0.809394359588623,0.7810692920190928,5.456814765930176,7.27101981753672,0.6529576182365417
