Loaded 10000 UniProt IDs
Scanned 1990/10000 | reused=0 | fetched_new=0 | failed=1990
Scanned 2000/10000 | reused=0 | fetched_new=0 | failed=2000
Scanned 2010/10000 | reused=0 | fetched_new=0 | failed=2010
Scanned 2020/10000 | reused=0 | fetched_new=0 | failed=2020
Scanned 2030/10000 | reused=0 | fetched_new=0 | failed=2030
Scanned 2040/10000 | reused=0 | fetched_new=0 | failed=2040
Scanned 2050/10000 | reused=0 | fetched_new=0 | failed=2050
Scanned 2060/10000 | reused=0 | fetched_new=0 | failed=2060
Scanned 2070/10000 | reused=0 | fetched_new=0 | failed=2070
Scanned 2080/10000 | reused=0 | fetched_new=0 | failed=2080
Scanned 2090/10000 | reused=0 | fetched_new=0 | failed=2090
Scanned 2100/10000 | reused=0 | fetched_new=0 | failed=2100
Scanned 2110/10000 | reused=0 | fetched_new=0 | failed=2110
Scanned 2120/10000 | reused=0 | fetched_new=0 | failed=2120
Scanned 2130/10000 | reused=0 | fetched_new=0 | failed=2130
Scanned 2140/10000 | reused=0 | fetched_new=0 | failed=2140
Scanned 2150/10000 | reused=0 | fetched_new=0 | failed=2150
Scanned 2160/10000 | reused=0 | fetched_new=0 | failed=2160
Scanned 2170/10000 | reused=0 | fetched_new=0 | failed=2170
Scanned 2180/10000 | reused=0 | fetched_new=0 | failed=2180
Scanned 2190/10000 | reused=0 | fetched_new=0 | failed=2190
Scanned 2200/10000 | reused=0 | fetched_new=0 | failed=2200
Scanned 2210/10000 | reused=0 | fetched_new=0 | failed=2210
Scanned 2220/10000 | reused=0 | fetched_new=0 | failed=2220
Scanned 2230/10000 | reused=0 | fetched_new=0 | failed=2230
Scanned 2240/10000 | reused=0 | fetched_new=0 | failed=2240
Scanned 2250/10000 | reused=0 | fetched_new=0 | failed=2250
Scanned 2260/10000 | reused=0 | fetched_new=0 | failed=2260
Scanned 2270/10000 | reused=0 | fetched_new=0 | failed=2270
Scanned 2280/10000 | reused=0 | fetched_new=0 | failed=2280
Scanned 2290/10000 | reused=0 | fetched_new=0 | failed=2290
Scanned 2300/10000 | reused=0 | fetched_new=0 | failed=2300
Scanned 2310/10000 | reused=0 | fetched_new=0 | failed=2310
Scanned 2320/10000 | reused=0 | fetched_new=0 | failed=2320
Scanned 2330/10000 | reused=0 | fetched_new=0 | failed=2330
Scanned 2340/10000 | reused=0 | fetched_new=0 | failed=2340
Scanned 2350/10000 | reused=0 | fetched_new=0 | failed=2350
Scanned 2360/10000 | reused=0 | fetched_new=0 | failed=2360
Scanned 2370/10000 | reused=0 | fetched_new=0 | failed=2370
Scanned 2380/10000 | reused=0 | fetched_new=0 | failed=2380
Scanned 2390/10000 | reused=0 | fetched_new=0 | failed=2390
Scanned 2400/10000 | reused=0 | fetched_new=0 | failed=2400
Scanned 2410/10000 | reused=0 | fetched_new=0 | failed=2410
Scanned 2420/10000 | reused=0 | fetched_new=0 | failed=2420
Scanned 2430/10000 | reused=0 | fetched_new=0 | failed=2430
Scanned 2440/10000 | reused=0 | fetched_new=0 | failed=2440
Scanned 2450/10000 | reused=0 | fetched_new=0 | failed=2450
Scanned 2460/10000 | reused=0 | fetched_new=0 | failed=2460
Scanned 2470/10000 | reused=0 | fetched_new=0 | failed=2470
Scanned 2480/10000 | reused=0 | fetched_new=0 | failed=2480
Scanned 2490/10000 | reused=0 | fetched_new=0 | failed=2490
Scanned 2500/10000 | reused=0 | fetched_new=0 | failed=2500
Scanned 2510/10000 | reused=0 | fetched_new=0 | failed=2510
Scanned 2520/10000 | reused=0 | fetched_new=0 | failed=2520
Scanned 2530/10000 | reused=0 | fetched_new=0 | failed=2530
Scanned 2540/10000 | reused=0 | fetched_new=0 | failed=2540
Scanned 2550/10000 | reused=0 | fetched_new=0 | failed=2550
Scanned 2560/10000 | reused=0 | fetched_new=0 | failed=2560
